Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda
@nailfashion_ch,NailFashion,Chiasso (TI),Nail,n.d.,1,Nessun dominio nelle ricerche per nome e indirizzo: solo Instagram,,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di NailFashion e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via degli Agustoni 3, Chiasso. Ricostruzione gel, refill, semipermanente, nail art. Fonte: ricerca del 7 settembre 2026, profilo non aperto."
@hair_lab_by_laura,Hair Lab by Laura,Novazzano (TI),Parrucchieri,n.d.,3,hairlablaura.ch è online ma mostra solo «Sito in fase di manutenzione»: il sito vero non c'è,,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Hair Lab by Laura e il suo sito hairlablaura.ch risponde con la pagina «Sito in fase di manutenzione».

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Indipendenza, 6883 Novazzano, tel. 079 905 68 13. Laura Ceronetti, in proprio da febbraio 2023. Fonte: ricerca del 7 settembre 2026, profilo non aperto."
@redparrucchierilugano,Red Parrucchieri,Balerna (TI),Parrucchieri,n.d.,5,"L'unica pagina che ha è la scheda dentro il sito del centro commerciale, centrobreggia.ch: nessun dominio suo",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Red Parrucchieri e quello che ha non è un sito suo: è una scheda dentro il sito del Centro Breggia.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Centro Breggia, via San Gottardo 56/A, 6828 Balerna. Tel. 079 799 53 96, mail redparrucchieribalerna@gmail.com. Fonte: ricerca del 7 settembre 2026, profilo non aperto."
@tattoo.balerna,Port Royal Tattoo,Balerna (TI),Tatuaggi,n.d.,1,Nessun dominio: nelle ricerche escono solo Instagram e le directory di settore,,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Port Royal Tattoo e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via San Gottardo 140, Balerna. Tatuaggi e piercing. Fonte: ricerca del 7 settembre 2026, profilo non aperto."
@barlauralugano,Bar Laura,Lugano (TI),Bar,n.d.,1,"Cercando il nome e l'indirizzo escono solo Instagram, Facebook e i portali di categoria: nessun dominio suo",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Bar Laura e su Google non compare un suo sito: c'è Instagram, ci sono le schede dei portali, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Emilio Bossi 3, Lugano. Aperto sette giorni su sette dal 1978: colazioni, pranzi, aperitivi, cene e musica."
@spaghettistore.lugano,Spaghetti Store,Lugano (TI),Ristorante,n.d.,1,"Cercando il nome e l'indirizzo escono solo Instagram, Facebook e i portali di categoria: nessun dominio suo",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Spaghetti Store e su Google non compare un suo sito: c'è Instagram, ci sono le schede dei portali, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Piazza Riziero Rezzonico 7, Lugano, vicino alla cattedrale. Pasta fresca fatta in casa, dehors."
@pizzastylelugano,Pizza Style,Lugano (TI),Pizzeria,n.d.,5,"Il suo menù online sta su pizza-style.menustic.com, un sottodominio della piattaforma: non è un dominio suo",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Pizza Style e quello che ha non è un sito suo: è una pagina su Menustic, la piattaforma dei menù.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Carlo Maderno 24, Lugano. Pizza al trancio e consegna a domicilio dal 2002."
@acquaefarina_lugano,Acqua & Farina,Lugano (TI),Pizzeria,n.d.,5,"Nessun dominio proprio: gli ordini passano da Smood e Uber Eats, il resto sono schede di terzi",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Acqua & Farina e quello che ha non è un sito suo: è una pagina su Smood e Uber Eats.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Pizzeria napoletana a Lugano, aperta sette giorni su sette, consegna con Smood e Uber Eats."
@lapasticceriadiflavio,La Pasticceria di Flavio,Lugano (TI),Pasticceria,n.d.,2,lapasticceriadiflavio.com compare ancora nelle ricerche ma non ha più nessun record DNS (verificato su Cloudflare e Google),,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di La Pasticceria di Flavio e il dominio lapasticceriadiflavio.com, che compare ancora nelle ricerche, non si apre più.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Emilio Rava 12 (Viganello) e Via al Nido 1 (Besso). Attiva dal 1997, tel. 076 671 88 60."
@gelateriavenetalugano,Gelateria Veneta,Lugano (TI),Gelateria,n.d.,1,"Solo Facebook, Instagram e le schede local.ch e search.ch: nessun dominio suo (gelateria-veneta.ch è il salone di Bellinzona, non il suo)",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Gelateria Veneta e su Google non compare un suo sito: c'è Instagram, ci sono le schede dei portali, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via al Chioso 30, Lugano. Di Luigi Longobardi e Anna D'Orsi, gelato veneto, anche senza glutine e vegano. ⚠️ Ha un secondo profilo, @gelateria_veneta_lugano_: scriverne a uno solo."
@amalogelati,AMALO Gelateria e Pinseria,Lugano (TI),Gelateria,n.d.,1,"Nessun dominio: nelle ricerche escono Instagram, Facebook e i portali di recensioni",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di AMALO Gelateria e Pinseria e su Google non compare un suo sito: c'è Instagram, ci sono le schede dei portali, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via alla Roggia 20A, Lugano. Pinsa romana, gelato mantecato, crêpes senza glutine."
@emmangiafoodtruck,Emmangia Food Truck,Lugano (TI),Street food,n.d.,1,"Cercando il nome e l'indirizzo escono solo Instagram, Facebook e i portali di categoria: nessun dominio suo",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Emmangia Food Truck e su Google non compare un suo sito: c'è Instagram, ci sono le schede dei portali, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Food truck che staziona alla zona Cinestar, Lugano. Tel. 079 175 22 58."
@b4_lugano,Snack Bar B4 «Before»,Lugano (TI),Bar,n.d.,1,"Cercando il nome e l'indirizzo escono solo Instagram, Facebook e i portali di categoria: nessun dominio suo",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Snack Bar B4 «Before» e su Google non compare un suo sito: c'è Instagram, ci sono le schede dei portali, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Lugano, aperto dal lunedì al venerdì dalle 05:30 alle 20:45. Tel. 091 921 41 40."
